Sentiment,SourceID,Tweet
non-rumor,6.93E+17,"watch one direction's original #xfactoruk auditions from 2010, where it all began URL URL"
FALSE,6.53E+17,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim."
FALSE,6.74E+17,donald trump v adolf hitler URL
unverified,7.26E+17,"target boycott crosses 1 million signers, stock sinks by $1.5 billion URL"
TRUE,5.25E+17,shooting in canadian parliament comes day after isis-inspired radical drove in2 canadian soldier. also reports of shooting at war memorial/1
unverified,7.31E+17,ca grand dragon endorses hillary clinton on behalf of the kkk. #trump2016 URL URL
unverified,7.23E+17,"landmarks around world turn purple, in honor of #prince. #princerip #purplerain URL"
FALSE,6.74E+17,"you're increasingly compared to hitler. does that bother you? trump: ""no."" URL"
TRUE,5.54E+17,#breaking - at least five hostages in paris kosher supermarket: (afp) URL #vincennes URL
unverified,7.31E+17,target ceo responds to nationwide boycott of the store over transgender bathroom policy URL URL
non-rumor,6.93E+17,"oh, i'm so ready to watch @zaynmalik's #pillowtalk on mtv tonight at 8:15p. URL URL"
non-rumor,6.92E+17,jeb bush campaign kicks off 3-state farewell tour with iowa town hall meeting URL URL
FALSE,6.57E+17,happy #backtothefuture day! how did 'back to the future: part ii' score on 2015 predictions? URL URL
TRUE,5.54E+17,an 11-month old baby is among the hostages at the kosher supermarket in paris. unbearably sad. URL
non-rumor,7.68E+17,"rudy giuliani rips @hillaryclinton for dragging colin powell into email scandal: ""she lies every day."" URL"
TRUE,6.50E+17,an openly gay man said that he and his partner met with pope francis a day before kim davis did URL
TRUE,5.54E+17,update - afp says gunman who has taken a hostage at kosher supermarket in paris believed to be suspect in killing of policewoman on thursday
non-rumor,6.94E+17,isis claims responsibility for triple bombing that killed at least 45 people and injured more than 100 near damascus. URL
FALSE,6.64E+17,"solo cups have been red for decades. if starbucks was taking a shot at christmas, solo shot first."
TRUE,6.15E+17,the @whitehouse is rainbow-colored tonight in celebration of scotus same-sex marriage ruling. URL URL
FALSE,6.37E+17,ben carson: what happened to blacks during slavery is why i am pro-life on abortion today URL URL
FALSE,6.61E+17,"anonymous to kkk: you can hood, but you can't hide. #opkkk #hoodsoff URL"
unverified,7.15E+17,an open letter to @realdonaldtrump from his top strategist-turned-defector: URL URL
FALSE,6.75E+17,‘el chapo’ threatens #isis: ‘my men will destroy you’ - URL URL
TRUE,5.44E+17,uber intros surge pricing in downtown sydney during hostage siege URL URL
unverified,6.52E+17,avoid 5p bag charge using these from @trolleybagsuk enter here to #win a set with @star100x URL URL
non-rumor,6.93E+17,chiefs te travis kelce will have his own reality tv dating show: URL URL
TRUE,5.54E+17,#breaking gunman in policewoman killing suspected in new paris hostage-taking: source
FALSE,6.34E+17,a new cnn/orc poll finds @hillaryclinton ahead of @realdonaldtrump by just 6 points URL URL
TRUE,5.45E+17,paramedics are currently carrying out a number of hostages in #martinpl. #sydneysiege #9news
TRUE,5.53E+17,"at least 12 killed in today's attack on satirical magazine #charliehebdo in paris, official says. URL"
FALSE,6.46E+17,latest starving 'refugees' from #syria . these guys look like friggin soldiers to me! URL
TRUE,6.15E+17,white house lit in rainbow colors after gay marriage ruling URL URL
non-rumor,6.94E+17,"poor women in india are fighting for the right to have a job. ""when you start working, your heart opens up."" URL"
FALSE,6.74E+17,"dearborn michigan, this morning. pro isis rally. spread the word, the fit is about to hit the shan here in the us. URL"
non-rumor,6.90E+17,#ausopen: british number one andy murray beats australia's sam groth 6-0 6-4 6-1 scores: URL URL
non-rumor,6.93E+17,saliha is one of the first women ever to stand for election in saudi arabia: watch her story URL URL
FALSE,6.21E+17,while @cnn is talking about #irandeal nasa confirms earth will experience 15 days of darkness in november 2015 URL
FALSE,6.57E+17,10 'back to the future' predictions that came true URL URL
TRUE,6.74E+17,1.15 million americans have been killed by guns since john lennon's death URL URL
FALSE,6.13E+17,"after arrest, dylann roof was hungry. police bought him food from burger king. more details: URL URL"
TRUE,5.45E+17,police move in: police confirm live ammunition used in martin place #sydneysiege
unverified,6.51E+17,pathetic little twat can’t wait to argue over 5p bag charge URL URL
non-rumor,6.93E+17,icymi: joseph pena squatted 875 pounds. he's 17 years old ... URL
TRUE,5.53E+17,"two shot in paris, including traffic cop, as manhunt continues for #charliehebdo suspects URL URL"
FALSE,6.66E+17,warning syrian refugees hv arrived in neworlean &they r here 2stay ur funds r being well invested in one-way tickets URL
non-rumor,6.81E+17,sacha baron cohen and his wife donate $1 million to syrian refugees URL URL
TRUE,6.32E+17,trayvon martin at space camp in florida. #blacklivesmatter URL
FALSE,6.53E+17,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim."
unverified,7.64E+17,hillary clinton strategist bob beckel called for wikileaks editor julian assange to be assassinated: i do not... URL
FALSE,6.73E+17,this is the face of female jihadist #tashfeenmalik could pass for a widow or orphan😤#norefugees #islamistheproblem URL
unverified,7.57E+17,"laziness is a trait in blacks, 1991 book quotes trump as saying: URL URL"
non-rumor,6.89E+17,us trying to locate americans missing in baghdad after al-arabiya reports they may have been kidnapped by militias URL
non-rumor,6.93E+17,"today, the @deptofdefense took steps to expand paid leave for military moms and dads → URL URL"
unverified,7.56E+17,"laziness is a trait in blacks, 1991 book quotes trump as saying: URL URL"
non-rumor,6.93E+17,"man held at disneyland paris carrying ""low-calibre"" guns & copy of koran - police sources URL URL"
FALSE,6.75E+17,el chapo vs isis: mexican cartel boss threatens islamic state over drug trade URL URL
FALSE,6.74E+17,adolf hitler vs donald trump URL
unverified,7.16E+17,.@berniesanders is pulling magic tricks out of a hat in nevada. we just officially won! URL
FALSE,6.62E+17,#opkkk releases 500+ names and reveals unexpected #plottwist URL URL
TRUE,5.45E+17,breaking @skybusiness: freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene URL ( carsonscottli
FALSE,6.38E+17,"in celebrity death hoax news, james earl jones is not dead. URL URL"
non-rumor,6.93E+17,"the terps do it again! no. 8 maryland knocks off no. 3 iowa 74-68, has beaten 5 of its last 7 top-5 opponents. URL"
TRUE,5.44E+17,"uber says it has hiked prices in sydney to ""encourage more drivers to come online & pick up passengers."" URL #sydneysiege"
unverified,7.45E+17,the big one: 'large scale motion' detected along san andreas fault URL URL
FALSE,6.73E+17,do these look like the faces of a homeless couple caught living in a walmart attic for 2 years? URL
non-rumor,6.92E+17,"the dave i know is polite, modest, and content. jumbotron dave is crass and loud. URL URL"
FALSE,6.74E+17,donald trump and adolf hitler. two sides of the same coin. #racism #fascism URL
TRUE,5.25E+17,#nhl cancels tonight's game between #ottawa and #toronto due to today's shootings. senators were to host maple leafs.
FALSE,6.19E+17,jay z and beyoncé want to buy rights to the confederate flag: URL URL
non-rumor,6.93E+17,"the people have spoken: there is now a petition for @snoopdogg to narrate ""planet earth"" URL URL"
TRUE,6.15E+17,the white house is lit up rainbow. URL
FALSE,6.54E+17,colorado mcdonald’s offers first marijuana friendly smoking section in restaurant - URL
FALSE,6.65E+17,"breaking: 1st load of 10,000 syrian refugees arrived in new orleans URL #makeamericagreatagain URL"
unverified,7.55E+17,ohio police say an officer was served a sandwich containing glass shards at a restaurant. URL
FALSE,6.67E+17,"the myth of zouheir, a ""hero muslim security guard"" in paris URL (via @bbctrending) URL"
unverified,7.30E+17,leading causes of death in the u.s.: 1. heart disease 2. cancer 3. medical error URL URL
unverified,7.26E+17,"because target believes men can pee with girls, their stock has taken a huge hit. good. keep boycotting target. URL"
FALSE,6.66E+17,jindal demands info about refugees entering new orleans... URL
TRUE,5.45E+17,"breaking: police enter #lindt cafe, hostages flee URL #sydneysiege URL"
non-rumor,6.92E+17,apple announces most profitable quarter in u.s. history—and the end of unprecedented growth URL URL
unverified,7.28E+17,.@caitlyn_jenner will reportedly pose nude for sports illustrated URL URL
non-rumor,6.92E+17,president obama announces ban on solitary confinement for juveniles in federal prisons - washington post URL
non-rumor,7.68E+17,"fbi uncovers nearly 15,000 more emails and materials sent to or from hillary clinton. URL URL"
FALSE,6.67E+17,donald trump is the new adolf hitler URL
unverified,7.16E+17,☆☆craigslist ad allegedly posted by bernie supporters offered $15 to protest at trump's rally in wisconsin. trump already creating jobs!
FALSE,6.53E+17,".@hillaryclinton is ahead of @berniesanders by 19 percentage points, in a new cbs news poll released sunday. URL"
unverified,6.56E+17,well done scotland! 5p carrier bag charge 1 yr old today - 80% cut in usage - 650m less bags -£6.7m for good causes. URL
FALSE,6.43E+17,unreal: watch what happens when desperate muslim refugees are offered red cross food URL URL
unverified,7.15E+17,"letter to trump voters from his top strategist-turned-defector - i don’t know if this is real, but it’s believable. URL"
FALSE,6.58E+17,"the father of steve jobs, the ground-breaking founder of apple, was a refugee from syria URL URL"
non-rumor,6.94E+17,"up to 100 masked men, dressed in black, involved in ""migrant attack"" in stockholm URL URL"
unverified,7.23E+17,"a new transgender bathroom policy at @target is real, and it's fabulous: URL URL"
TRUE,6.15E+17,white house is aglow in the colors of the rainbow celebrating the supreme court's same-sex marriage decision. URL
unverified,7.07E+17,bernie sanders speaking about institutional racism 👏🏽🙌🏽 URL
non-rumor,6.91E+17,"investigations into nearly 60 allegations of unlawful killing against uk soldiers in iraq are dropped, mod says URL"
FALSE,6.61E+17,mayors flatly deny klan membership after #anonymous releases names online URL #opkkk #hoodsoff URL
unverified,7.15E+17,donald spunktrumpet's former communications director stephanie cegielski has resigned and written this - URL
non-rumor,6.72E+17,"holy christ, #samuraijack is returning to television! URL URL"
FALSE,6.74E+17,72 dhs employees on the terror watch list: URL h/t @penguinsfan62
FALSE,6.18E+17,"the kissing islands, greenland! URL"
unverified,7.15E+17,donald trump supports abortion ban and 'punishment' for women URL
TRUE,6.15E+17,breaking: the @whitehouse is celebrating with us tonight lit up in rainbow colors. #lovewins URL
non-rumor,6.94E+17,iran's supreme leader awards medals to troops who 'captured' u.s. sailors URL URL
FALSE,6.44E+17,"greek customs captured containers of weapons and ammunition going to refugee camps in europe as ""plastic furniture"" URL"
unverified,7.63E+17,breaking video : hillary surrogate calls for the assassination of julian assange. URL
FALSE,6.71E+17,desperate ted cruz claims planned parenthood shooter was transgender leftis; based on rumor he read URL
non-rumor,6.92E+17,woman a leading authority on what shouldn’t be in poor people’s grocery carts URL URL
unverified,7.53E+17,"ted cruz is apparently riding with the president on air force one en route to dallas. man, barack obama is a saint."
FALSE,6.27E+17,this is how people in china are riding escalators after a horrific accident URL URL
unverified,7.42E+17,a tweet from @realdonaldtrump about the #orlando shooting: URL URL
unverified,7.16E+17,"bernie sanders has actually won nevada, not hillary clinton! the people have spoken! URL URL"
unverified,7.79E+17,massachusetts court finds that it’s ‘reasonable’ for black men to run from police to avoid racial profiling… URL
TRUE,6.15E+17,there will be cool photos of the white house w rainbow colors tonight but hard to top this one by chuck kennedy. URL
unverified,7.15E+17,donald trump tells chris matthews: women deserve ‘some form of punishment’ for abortion URL URL
FALSE,6.74E+17,72 dhs employees on terrorist watch list URL via @kredo0 URL
non-rumor,6.93E+17,women in america still earn only $0.79 for every $1 men make. it's time for #equalpay → URL URL
unverified,7.25E+17,people are over here boycotting @target over their new transgender bathroom policy and i'm just like URL
unverified,6.55E+17,thousands of people in china claim they have seen a 'floating city' in the sky URL
non-rumor,6.92E+17,danish lawmakers approve bill allowing seizure of asylum seekers' valuables to help cover expenses. URL
TRUE,5.45E+17,"#sydneysiege is over. 2 confirmed dead, #prayforsydney #prayforsydneyhostages #sydney #hostages"
non-rumor,6.93E+17,usgs: sonic boom confirmed in new jersey area after reports of shaking; cause not immediately known URL
FALSE,6.64E+17,"mysterious creature discovered in california, everyone naturally cries alien: URL URL"
unverified,7.43E+17,considering the #orlando shooter was a registered democrat i'd like to just put these back here: URL
non-rumor,7.68E+17,powell breaks silence: clintons trying to 'pin' scandal on me! URL
TRUE,6.42E+17,alert! islam taught in tennessee schools URL #wakeupamerica #tcot #wethepeople #pjnet #ccot URL
FALSE,6.51E+17,el chapo puts $100 million bounty on donald trump...dead or alive! URL
FALSE,6.62E+17,hackers from anonymous say they're set to expose hundreds of kkk members URL #opkkk URL
non-rumor,6.94E+17,.@dylanobrien learned the hard way to not mess with @shelleyhennig: URL URL
FALSE,6.76E+17,72 dhs employees on terrorist watch list - washington free beacon URL
TRUE,5.44E+17,"sydney hostage-taker - man monis, 49 - originally from iran - self-styled sheikh - accused of sexually assaulting 7 women developing.."
TRUE,5.45E+17,"haron monis,hostage-taker in #sydney: fled #iran 96,suspect in ex-wife killing,46 sex assaults URL URL"
FALSE,6.74E+17,shock: 72 'homeland security' employees on terrorist watch list... URL
unverified,6.53E+17,why drunk vegetarians eat meat URL via @thedailybeast
FALSE,6.41E+17,kim davis angers 'eye of the tiger' creator after using song at prison release URL
TRUE,6.15E+17,white house lit in rainbow colors following us supreme court ruling that same-sex couples have right to marry. URL
TRUE,5.25E+17,very reliable source on parliament hill tells me the assailant has been killed. #cdnpoli #ottnews
unverified,7.08E+17,meet kenny the tiger. he was born with down syndrome. he's proof you don't have to be perfect to be beautiful ❤️ URL
FALSE,6.56E+17,"cnn/orc poll: clinton did best in 1st dem debate, but only sanders significantly increased support in past month. URL"
non-rumor,7.23E+17,#ripchyna: the wwe icon has passed away at the age of 45. URL URL
FALSE,6.57E+17,10 'back to the future' predictions that actually came true URL URL
FALSE,6.15E+17,breaking: south carolina to ban sale of tylenol. they fear picking of cotton from the bottles may represent slavery. URL
unverified,7.64E+17,hillary clinton strategist bob beckel called for wikileaks editor julian assange to be assassinated. #dncleaks URL
FALSE,6.64E+17,for everyone who thinks starbucks red cups are ruining christmas URL URL
FALSE,6.59E+17,fda confiscates several thousand chickens from kfc farms as mutations worsen URL URL
FALSE,6.69E+17,"months ago, rupert murdoch bought national geographic and fired most of writers. this just hit the stands. URL"
FALSE,6.20E+17,translucent butterfly - beautiful! ' URL
unverified,7.33E+17,"🎯 #target backlash over transgender bathroom policy hits ""boiling♨️point""❗️ URL #boycotttarget URL"
TRUE,5.44E+17,breaking update: gunman says four devices are located around sydney. security response underway. police calling for calm. 9news
FALSE,6.28E+17,"sylvester stallone was so broke before his script for rocky was accepted that he sold his dog for $25. after he bought it back for $15,000."
FALSE,6.72E+17,"pres. obama on #sanbernardino: ""we have a pattern now of mass shootings in this country that has no parallel."" URL"
non-rumor,6.93E+17,"michael phelps' gold medals and speedo crashed asu's ""curtain of distraction"" last night. you read that right. URL"
FALSE,6.74E+17,".@presssec: @realdonaldtrump comment ""disqualifies"" him from presidency URL via @talkopan URL"
unverified,7.15E+17,an open letter to trump voters from his top strategist-turned-defector URL @juddapatow @andylassner @bettemidler
FALSE,6.11E+17,what's lurking underneath that crispy crust? a kfc customer claims he got a fried rat: URL URL
unverified,7.79E+17,black men have legitimate reason to run from police – #massachusetts supreme court URL URL
TRUE,5.25E+17,***exclusive*** michael zahaf-bibeau caught on a #dashcam model sold at URL #ottawashooting URL
unverified,7.41E+17,dear @hillaryclinton you're not the 1st woman presidential candidate. victoria woodhull is. look @realdonaldtrump URL
TRUE,5.45E+17,"escaped #sydneysiege hostage, elly chen, a top student and skilled sportswoman URL URL"
TRUE,5.53E+17,police convoy and helicopters are rushing to scene to detain charlie hebdo massacre suspects URL URL
non-rumor,7.62E+17,good news: our businesses have added 15 million jobs over the past 77 months → URL URL
FALSE,6.74E+17,72 dhs employees on terrorist watch list URL
FALSE,6.52E+17,ben carson is the most brainless brain surgeon in america. my new column: URL
FALSE,6.34E+17,cnn/orc poll: donald trump now competitive in general election URL via @jennagiesta URL
non-rumor,7.62E+17,“our team boasts the most women who have ever competed for any nation at any olympic games.” —@potus on @teamusa: URL
TRUE,5.54E+17,#breaking charlie hebdo gunmen's hostage freed and safe after police assault
TRUE,5.45E+17,"sydney siege: police enter cafe as hostages flee the scene, gunfire heard, reports of an injured person – live URL"
FALSE,6.73E+17,mass shootings list. reagan - 11 bush sr - 12 clinton - 23 bush jr - 16 obama - 162 #sanbernadino
non-rumor,6.94E+17,"red alert! drake just dropped a new single called, ""summer sixteen"" from his new album. URL URL"
non-rumor,6.94E+17,spoiler alert: leo and kate were ridiculously cute together at the 2016 #sagawards. URL URL
unverified,6.56E+17,when refusing to pay the 5p bag charge backfires URL 😂🙈
FALSE,6.72E+17,"pres. obama on #sanbernardino: ""we have a pattern now of mass shootings in this country."" URL URL"
TRUE,6.15E+17,the white house takes on rainbow hues in celebrating #scotusmarriage decision: URL URL
unverified,7.28E+17,perhaps media should ask hillary about this clinton campaign made payments to hard drive destruction company URL
TRUE,5.44E+17,police: negotiators are now in contact with armed hostage-taker in sydney situation; motive remains unknown - URL
unverified,7.42E+17,#orlando oh look the muslim shooter was also a democrat! URL
unverified,7.07E+17,"obama to skip nancy reagan's funeral for music, film festival in austin, tx URL via @waynedupreeshow"
unverified,7.55E+17,police shut down restaurant after officer cuts mouth on shards of glass found in sandwich URL URL
non-rumor,6.94E+17,denver medical center on lockdown; 9 at hospitals after deadly incident at denver coliseum URL URL
unverified,7.05E+17,"breaking news: search ""how can i move to canada"" skyrocketed following #supertuesday URL"
unverified,7.25E+17,"hey guys, target isn't backing down check the usa today article about the boycott URL"
unverified,7.57E+17,"donald trump: ""...laziness is a trait in blacks. it really is, i believe that. it’s not anything they can control.” URL"
TRUE,5.44E+17,geoblock lifted on #abcnews24. streaming coverage of the martin place siege in sydney here URL
TRUE,5.44E+17,"more: police confirm 3 hostages escape sydney cafe, unknown number remain inside URL #sydneysiege"
unverified,7.76E+17,clinton hides failing health? full disclosure now: covert doctors and nurses URL via @mailonline #maga @realdonaldtrump
non-rumor,6.93E+17,an adorable young fan asked riley curry to be his valentine ... and steph responded: URL URL
TRUE,6.15E+17,"as sun goes down, white house lights up rainbow colors to celebrate scotus ruling: URL URL"
non-rumor,6.83E+17,erdoğan cites hitler's germany as example of effective government URL
unverified,7.26E+17,starve the beasts destroying our #civilsociety #target stock ➡️ sinks $1.5 billion URL URL
unverified,7.67E+17,"laziness is a trait in blacks-trump, according to former president of trump plaza hotel and casino @vitico46 URL"
TRUE,5.53E+17,"breaking: at least 10 killed in shooting at french satirical newspaper charlie hebdo, paris prosecutor's office says. URL"
TRUE,5.25E+17,"confirmed | 1 shooter shot dead at parliament hill, but there is more than 1 suspect. #cbcott #ottnews"
FALSE,6.68E+17,steve jobs' biological father was a syrian immigrant.
non-rumor,6.88E+17,"three men found guilty of involvement in ""largest burglary in english legal history"" at hatton garden URL"
unverified,7.24E+17,all in purple: memorials and landmarks across the globe honor #prince after his death. URL URL
FALSE,6.77E+17,plumber suing car dealership for $1m after truck he traded in ends up in hands of isis: URL URL
TRUE,5.44E+17,five hostages have escaped the besieged lindt cafe in #sydney | our latest update: URL URL
FALSE,6.57E+17,"#backtothefuture fans, it's october 21, 2015 — the future is finally here! URL URL"
TRUE,5.25E+17,the soldier shot dead in wednesday's ottawa attacks has been named as cpl. nathan cirillo of #hamont #ottawashooting URL
non-rumor,6.93E+17,nasa astronaut @stationcdrkelly captures a beautiful sunrise from aboard the international space station. URL
FALSE,6.66E+17,jindal protests sending of syrian refugees to new orleans URL URL
non-rumor,6.93E+17,ohio lawmakers want to know why state’s epa didn’t tell public about lead leaking into water supply of sebring. URL
unverified,6.51E+17,uk • you're right to be nervous about the 5p plastic bag charge. when they implemented this in california the streets ran red with blood.
TRUE,5.54E+17,french police publishes photos of suspect in yesterday's montrouge shooting. maybe the same persons in kosher market URL
FALSE,6.74E+17,a vote for donald trump is a vote for adolf hitler.
FALSE,6.27E+17,translucent butterfly - beautiful! ' URL
FALSE,6.57E+17,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim."
TRUE,6.15E+17,these colors celebrate a new chapter in the history of american civil rights. #lovewins URL URL
unverified,7.52E+17,#urgent so-called 'purge' planned tonight in baton rouge 1200am - 0500am. #bluelivesmatter - heres the flash >> URL
non-rumor,6.94E+17,"in china, 77% of jobs are threatened by automation URL URL"
TRUE,6.50E+17,vatican says #kimdavis' meeting w/ #popefrancis 'should not be considered a form of support.' URL URL
non-rumor,6.92E+17,tony the tiger has no more cummies left to give URL URL
FALSE,6.14E+17,charleston church shooter dylann roof receives $4 million in donations from supporters - URL URL
FALSE,6.74E+17,donald trump has been disqualified for running for president URL
unverified,6.59E+17,"test finds human dna in hot dogs, meat in vegetarian products URL URL"
unverified,7.49E+17,"obama cuts military pay third year in a row, while pushing $15 min. wage for burger flippers URL URL"
TRUE,6.14E+17,theres' a double rainbow over the white house URL
FALSE,6.62E+17,holy shit. rupert murdoch just killed national geographic. URL
FALSE,6.38E+17,sanders closes to 7 points behind clinton in new iowa poll. URL URL
unverified,7.32E+17,target’s new transgender policy raises all sorts of questions. URL
non-rumor,6.90E+17,".@potus on declaring a federal emergency in #flint, michigan to supplement state and local response efforts. URL"
FALSE,6.45E+17,"#bulgaria finds 10,000 #fake passports hidden by #muslim refugees heading for #germany passports for #terrorists URL"
non-rumor,6.93E+17,french police hunting woman who was with an armed man arrested near disneyland paris. URL
FALSE,6.73E+17,reagan (11 mass shootings) bush sr (12 mass shootings) clinton (23 mass shootings) bush jr (16 mass shootings) obama (162 mass shootings)
unverified,7.27E+17,good news!: target stock plummets #lbgtq #bathroombill URL #tcot #pjnet #rednationrising URL
unverified,7.65E+17,"fox news host claims hillary clinton had seizure on camera, has 'secret' health issues URL URL"
TRUE,5.25E+17,soldier killed in canada shooting was a young reservist with a six-year-old son URL URL
FALSE,6.72E+17,reagan (11 mass shootings) bush sr (12 mass shootings) clinton (23 mass shootings) bush jr (16 mass shootings) obama (162 mass shootings)
unverified,7.47E+17,newsflash⚡️the #orlando shooter was a muslim and a democrat✔️ not a republican or christian❌ #gaypride2016 URL
unverified,7.75E+17,"nurses save lives of all different races and colors, but @hillaryclinton thinks we belong in a #basketofdeplorables. URL"
unverified,7.61E+17,"before hillary clinton, there was victoria woodhull, a pro-life feminist who ran and was nominated for president. URL"
unverified,7.28E+17,report: caitlyn jenner will pose nude for sports illustrated URL URL
TRUE,6.15E+17,white house shines rainbow-colored lights in honor of #scotus gay marriage decision #lovewins URL URL
non-rumor,6.93E+17,mark zuckerberg is now richer than the koch brothers 💰 URL URL
non-rumor,6.94E+17,"watch bernie sanders sing ""this land is your land"" with vampire weekend at iowa students rally URL"
unverified,7.24E+17,niagara falls turned purple on the day prince died: URL URL
unverified,7.42E+17,shooter in orlando was: a. muslim b. registered democrat voter c. isis d. homophobic e. ready for hillary URL
FALSE,6.75E+17,el chapo threatens isis URL URL
TRUE,5.25E+17,breaking news: at least 3 shots fired at ottawa war memorial. one soldier confirmed shot - URL URL
unverified,7.49E+17,what's the no. 1 killer of americans? these rankings have changed little over the years URL URL
TRUE,5.44E+17,"this is shot that captures the #sydneysiege: sheer terror/relief of escaped hostages, incredible work of @nswpolice URL"
TRUE,6.15E+17,white house lit in rainbow colors after high court's gay marriage ruling (with photo) URL
FALSE,6.30E+17,chick-fil-a to open on sundays URL
non-rumor,6.93E+17,3-legged dog expected to survive after getting shot while scaring off armed robbers. URL URL
FALSE,6.27E+17,this is how people in china are riding escalators after a horrific accident URL URL
FALSE,6.73E+17,farook family attorney says brothers in the family never saw tashfeen malik's face because she always wore a burka. URL
FALSE,6.74E+17,72 dhs employees on terrorist watch list URL
FALSE,6.47E+17,new cnn democratic poll: bernie sanders 46 hillary clinton 30 joe biden 14 martin o'malley 2
FALSE,6.41E+17,"happy ""$15 minimum wage"" labor day from mcdonalds URL"
unverified,7.27E+17,target's stock has taken a $2.5 billion hit over its insistence on insulting regular customers URL
FALSE,6.66E+17,muslim security guard stopped bomber from entering the stadium during #parisattacks URL #zouheir URL
FALSE,6.21E+17,nasa confirms earth will experience 15 days of complete darkness in november 2015 - URL URL
FALSE,6.74E+17,72 dhs employees on terrorist watch list URL via @kredo0 URL
TRUE,5.44E+17,"developing: gunman takes hostages in sydney cafe, 'isis' flags being held against window - URL URL"
non-rumor,6.92E+17,here's why @potus is taking steps to ban solitary confinement for low-level infractions: URL URL
unverified,6.51E+17,black people can be so stubborn to change.... #5pbagcharge URL
FALSE,6.75E+17,"mexican drug kingpin 'el chapo' reportedly threatens to destroy isis ""p*ssies."" URL URL"
FALSE,6.68E+17,"according to anonymous, the next isis target is a wwe event in atlanta. URL URL"
FALSE,6.05E+17,"the kissing islands, greenland. URL"
non-rumor,6.83E+17,turkey's president says all he wants is same powers as hitler URL URL
non-rumor,6.89E+17,today’s progress...these things are a reminder of what we can achieve when we lead with strength and wisdom. —@potus on progress with iran
non-rumor,6.93E+17,4 miners now rescued from mine in china's shandong after 36 days underground - state media URL URL
